Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
207;"""Coisas Eróticas 2 """;Raffaele Rossi;Empresa Cinematográfica Rossi;SP;jul/84;1984;1,153,835
208;"""Eros""";Walter Hugo Khoury;Enzo Barone Filmes/Serrador Filmes;SP;nov/81;1981;1,149,495
209;"""A Ilha do desejo""";Jean Garret;Dacar Produções Cinematográficas;SP;mai/75;1975;1,144,160
210;"""Se Segura, Malandro""";Hugo Carvana;Alter Filmes;RJ;ago/78;1978;1,140,879
211;"""Mato sem Cachorro""";Pedro Amorim;TITÂNIO PRODUÇÕES ARTÍSTICAS;RJ;out/13;2013;1,134,563
212;"""Costinha e o King Mong""";Alcino Diniz;Commander Filmes;RJ;jul/77;1977;1,134,168
213;"""Luz, Cama, Ação""";Cláudio MacDowell;Sincrocine;RJ;mar/76;1976;1,129,706
214;"""O Descarte""";Anselmo Duarte;Cinedistri;SP;dez/73;1973;1,125,511
215;"""Tô ryca!""";Pedro Antônio;Glaz Entretenimento;RJ;set/16;2016;1,121,570
216;"""O Quatrilho""";Fábio Barreto;Filmes do Equador / Produções Cinematográficas LC Barreto;RJ;out/95;1995;1,117,754
217;"""O Prisioneiro do Sexo""";Walter Hugo Khoury;Galante Filmes;SP;abr/79;1979;1,117,743
218;"""Memórias do Cárcere""";Nelson Pereira dos Santos;LC Barreto;RJ;jun/84;1984;1,113,125
219;"""Sábado Alucinante""";Cláudio Cunha;Kinema Filmes;SP;abr/79;1979;1,111,446
220;"""Mágoa de Boiadeiro""";Jeremias Moreira Filho;Topázio Cinematográfica;SP;jul/78;1978;1,107,019
221;"""Bacanal - Ménage à Trois""";Antonio Meliande;CAM Filmes;SP;mar/81;1981;1,086,996
222;"""Com Licença eu Vou à Luta""";Lui Farias;Produções Cinematográficas R. F. Farias;RJ;abr/86;1986;1,084,631
223;"""Café na Cama""";Alberto Pieralisi;Alberto Pieralisi Filmes;RJ;abr/74;1974;1,081,392
224;"""A Estrela Sobe""";Bruno Barreto;LC Barreto;RJ;out/74;1974;1,076,885
225;"""Brasil Bom de Bola""";Carlos Niemeyer;Canal 100 Filmes;RJ;jan/71;1971;1,074,115
226;"""O Leito da Mulher Amada""";Egídio Eccio;Brasecran;SP;set/74;1974;1,073,468
227;"""Um Suburbano Sortudo""";Roberto Santucci;Camisa Listrada;RJ;fev/16;2016;1,070,434
228;"""O Donzelo""";Stepan Wohl;Allegro Filmes;RJ;fev/71;1971;1,069,563
229;"""Orgia das Libertinas""";Ary Fernandes;Procitel Filmes;SP;jun/81;1981;1,066,465
230;"""As Borboletas Também Amam""";J.B. Tanko;J.B.Tanko Filmes;RJ;abr/79;1979;1,049,563
231;"""Eva, o Princípio do Sexo """;José Carlos Barbosa;E. C. Filmes;SP;abr/83;1983;1,043,643
232;"""As Secretárias que Fazem de Tudo""";Alberto Pieralisi;Phoenix Filmes;RJ;abr/75;1975;1,038,291
